No.,Atomic,Name,Sym.,M.P., B.P.,Density,Earth,Discovery,Group
2,4.003,Helium,He,-272,-269,0.18,,1895,18
3,6.941,Lithium,Li,180,"1,347",0.53,,1817,1
4,9.012,Beryllium,Be,"1,278","2,970",1.85,,1797,2
5,10.811,Boron,B,"2,300","2,550",2.34,,1808,13
6,12.011,Carbon,C,"3,500","4,827",2.26,0.09,ancient,14
7,14.007,Nitrogen,N,-210,-196,1.25,,1772,15
8,15.999,Oxygen,O,-218,-183,1.43,46.71,1774,16
9,18.998,Fluorine,F,-220,-188,1.7,0.03,1886,17
10,20.18,Neon,Ne,-249,-246,0.9,,1898,18
11,22.99,Sodium,Na,98,883,0.97,2.75,1807,1
12,24.305,Magnesium,Mg,639,"1,090",1.74,2.08,1755,2
13,26.982,Aluminum,Al,660,"2,467",2.7,8.07,1825,13
14,28.086,Silicon,Si,"1,410","2,355",2.33,27.69,1824,14
15,30.974,Phosphorus,P,44,280,1.82,0.13,1669,15
16,32.065,Sulfur,S,113,445,2.07,0.05,ancient,16
17,35.453,Chlorine,Cl,-101,-35,3.21,0.05,1774,17
18,39.948,Argon,Ar,-189,-186,1.78,,1894,18
19,39.098,Potassium,K,64,774,0.86,2.58,1807,1
20,40.078,Calcium,Ca,839,"1,484",1.55,3.65,1808,2
21,44.956,Scandium,Sc,"1,539","2,832",2.99,,1879,3
22,47.867,Titanium,Ti,"1,660","3,287",4.54,0.62,1791,4
23,50.942,Vanadium,V,"1,890","3,380",6.11,,1830,5
24,51.996,Chromium,Cr,"1,857","2,672",7.19,0.04,1797,6
25,54.938,Manganese,Mn,"1,245","1,962",7.43,0.09,1774,7
26,55.845,Iron,Fe,"1,535","2,750",7.87,5.05,ancient,8
27,58.933,Cobalt,Co,"1,495","2,870",8.9,,1735,9
28,58.693,Nickel,Ni,"1,453","2,732",8.9,0.02,1751,10
29,63.546,Copper,Cu,"1,083","2,567",8.96,,ancient,11
30,65.39,Zinc,Zn,420,907,7.13,,ancient,12
31,69.723,Gallium,Ga,30,"2,403",5.91,,1875,13
32,72.64,Germanium,Ge,937,"2,830",5.32,,1886,14
33,74.922,Arsenic,As,81,613,5.72,,ancient,15
34,78.96,Selenium,Se,217,685,4.79,,1817,16
35,79.904,Bromine,Br,-7,59,3.12,,1826,17
36,83.8,Krypton,Kr,-157,-153,3.75,,1898,18
37,85.468,Rubidium,Rb,39,688,1.63,,1861,1
38,87.62,Strontium,Sr,769,"1,384",2.54,,1790,2
39,88.906,Yttrium,Y,"1,523","3,337",4.47,,1794,3
40,91.224,Zirconium,Zr,"1,852","4,377",6.51,0.03,1789,4
41,92.906,Niobium,Nb,"2,468","4,927",8.57,,1801,5
42,95.94,Molybdenum,Mo,"2,617","4,612",10.22,,1781,6
43,98,Technetium,Tc,"2,200","4,877",11.5,,1937,7
44,101.07,Ruthenium,Ru,"2,250","3,900",12.37,,1844,8
45,102.906,Rhodium,Rh,"1,966","3,727",12.41,,1803,9
46,106.42,Palladium,Pd,"1,552","2,927",12.02,,1803,10
47,107.868,Silver,Ag,962,"2,212",10.5,,ancient,11
